Asset Name,BU,Latitude,Longitude
Boracay Airport,Infra,11.92702,121.95951
North Avenue,Infra,14.655048,121.032748
Quezon Memorial Circle,Infra,14.652266,121.047631
University Avenue,Infra,14.655066,121.054781
Tandang Sora,Infra,14.663344,121.067476
Don Antonio,Infra,14.676977,121.082669
Batasan,Infra,14.685058,121.086311
Manggahan,Infra,14.697358,121.087327
Dona Carmen,Infra,14.705051,121.078259
Regalado,Infra,14.706387,121.067999
Mindanao Avenue,Infra,14.732939,121.061201
Quirino,Infra,,
Sacred Heart,Infra,,
Tala,Infra,,
Eagle Cement Plant,Cement,15.05291944,121.06738056
Northern Cement Plant,Cement,16.165344237,120.568399316127
Southern Concrete Industries Plant,Cement,6.9355307527,125.486029580804
Head Office Complex,Properties,14.58321,121.05892
Makati Diamond Residences,Properties,14.55401,121.02104
Pasig C5 Complex,Properties,14.57579,121.07423
155 EDSA Office,Properties,14.5867795,121.055905
808 Building,Properties,14.5790697,121.063582
Connecticut Building,Properties,14.60176,121.05798
Delgado Building,Properties,14.5788102,121.062268
E Fare ,Properties,14.4766766,120.44154
Emerald 88,Properties,14.5831712,121.083681
New Manila International Airport,SMAI,14.7448992875704,120.875215934969
NAIA Terminal 1,NNIC,14.505,121.00472
NAIA Terminal 2,NNIC,14.50944,121.013055
NAIA Terminal 3,NNIC,14.5194444,121.013333
NAIA Terminal 4,NNIC,14.524722,121.0011111
