Asset Name,BU,Latitude,Longitude,bws_06_cat,bws_06_lab
Iloilo Terminal,Petron,10.6968679603658,122.585184339905,3,High (40-80%)
Petron Bacolod Terminal,Petron,10.6946127608877,122.952772665172,3,High (40-80%)
Tacloban Terminal,Petron,11.2587817622572,124.987293630687,3,High (40-80%)
Amlan Terminal,Petron,9.44639002517765,123.237398142394,3,High (40-80%)
Tagbilaran Terminal,Petron,9.65281720953057,123.851989036777,3,High (40-80%)
Nasipit Terminal,Petron,8.97865360592074,125.337942637226,3,High (40-80%)
Tagoloan Terminal,Petron,8.5145,124.7556,3,High (40-80%)
Iligan Terminal,Petron,8.21111819345074,124.223479961485,3,High (40-80%)
Jimenez Terminal,Petron,8.33310404075044,123.852455352213,3,High (40-80%)
Petron Zamboanga,Petron,6.91456486906234,122.043942415419,3,High (40-80%)
Bawing Terminal,Petron,6.0085,125.1292,3,High (40-80%)
Davao Terminal,Petron,7.112945,125.655333,3,High (40-80%)
Pasig Terminal,Petron,14.5768449566805,121.073929573244,3,High (40-80%)
San Fernando Terminal,Petron,15.080811,120.63774,3,High (40-80%)
Legazpi,Petron,13.3228,123.6655,3,High (40-80%)
SL Pan Asia Petron,Petron,14.5869,121.0614,3,High (40-80%)
TPLEX Tarlac City/CLLEX Interchange,Infra,15.476086,120.677982,3,High (40-80%)
TPLEX Tarlac City Interchange Southbound,Infra,15.489234,120.674558,3,High (40-80%)
TPLEX Victoria Interchange,Infra,15.544732,120.645525,3,High (40-80%)
TPLEX Pura Interchange,Infra,15.613903,120.630942,3,High (40-80%)
TPLEX Ramos Interchange,Infra,15.664787,120.614719,3,High (40-80%)
TPLEX Anao Interchange,Infra,15.716053,120.612665,3,High (40-80%)
TPLEX Rosales Interchange,Infra,15.87564,120.622662,3,High (40-80%)
TPLEX Urdaneta Interchange,Infra,16.00342,120.58341,3,High (40-80%)
TPLEX Binalonan Interchange,Infra,16.04686,120.562218,3,High (40-80%)
TPLEX Pozzorubio Interchange,Infra,16.128759,120.522056,3,High (40-80%)
TPLEX Sison Interchange,Infra,16.180061,120.513212,3,High (40-80%)
TPLEX Rosario Interchange,Infra,16.225235,120.49788,3,High (40-80%)
Skyway Buendia NB Off Ramp,Infra,14.553978,121.009638,3,High (40-80%)
Skyway Buendia SB On Ramp,Infra,14.553688,121.009416,3,High (40-80%)
Skyway Amorsolo SB On Ramp,Infra,14.550647,121.011087,3,High (40-80%)
Skyway Amorsolo NB Off Ramp,Infra,14.550815,121.011356,3,High (40-80%)
Skyway Don Bosco NB Off Ramp,Infra,14.545412,121.014263,3,High (40-80%)
Skyway Magallanes NB Off Ramp,Infra,14.529754,121.022721,3,High (40-80%)
Skyway Magallanes SB On Ramp,Infra,14.528436,121.023023,3,High (40-80%)
NICHOLS INTERCHANGE,Infra,14.524399,121.025594,3,High (40-80%)
Skyway Merville Exit,Infra,14.511757,121.031795,3,High (40-80%)
Skyway C5 Interchange,Infra,14.509089,121.033657,3,High (40-80%)
Skyway Bicutan Interchange,Infra,14.486914,121.044916,3,High (40-80%)
Skyway Sucat Interchange,Infra,14.453813,121.045216,3,High (40-80%)
Skyway Alabang Interchange,Infra,14.423032,121.045285,3,High (40-80%)
Skyway Extension,Infra,14.405498,121.040579,3,High (40-80%)
Skyway Stage 3 Buendia NB On Ramp,Infra,14.562208,121.005197,3,High (40-80%)
Skyway Stage 3 Buendia SB Off Ramp,Infra,14.564509,121.003655,3,High (40-80%)
Skyway Stage 3 Quirino NB On Ramp,Infra,14.577532,120.997723,3,High (40-80%)
Skyway Stage 3 Quirino NB Off Ramp,Infra,14.575936,120.997839,3,High (40-80%)
Skyway Stage 3 Plaza Dilao SB Off Ramp,Infra,14.580882,120.999227,3,High (40-80%)
Skyway Stage 3 Plaza Dilao SB On Ramp,Infra,14.581139,121.000023,3,High (40-80%)
Skyway Stage 3 Nagtahan NB On Ramp,Infra,14.584544,121.002273,3,High (40-80%)
Skyway Stage 3 Nagtahan NB Off Ramp,Infra,14.584448,121.002028,3,High (40-80%)
Skyway Stage 3 Nagtahan SB Off Ramp,Infra,14.584239,121.002472,3,High (40-80%)
Skyway Stage 3 E. Rodriguez NB On Ramp,Infra,14.611378,121.017006,3,High (40-80%)
Skyway Stage 3 E. Rodriguez SB Off Ramp,Infra,14.618015,121.014883,3,High (40-80%)
Skyway Stage 3 Quezon Ave. NB Off Ramp,Infra,14.622717,121.015337,3,High (40-80%)
Skyway Stage 3 Quezon Ave. SB On Ramp,Infra,14.622988,121.015053,3,High (40-80%)
Skyway Stage 3 Quezon Ave. NB On Ramp,Infra,14.630772,121.010749,3,High (40-80%)
Skyway Stage 3 Quezon Ave. SB Off Ramp,Infra,14.634442,121.008834,3,High (40-80%)
Skyway Stage 3 Sgt. Rivera NB Off Ramp,Infra,14.644047,120.99581,3,High (40-80%)
Skyway Stage 3 Sgt. Rivera SB On Ramp,Infra,14.643878,120.995102,3,High (40-80%)
Skyway Stage 3 Sgt. Rivera SB Off Ramp,Infra,14.644539,120.993934,3,High (40-80%)
Skyway Stage 3 A. Bonifacio NB Off Ramp,Infra,14.652762,120.997704,3,High (40-80%)
Skyway Stage 3 A. Bonifacio SB On Ramp,Infra,14.653447,120.997738,3,High (40-80%)
Skyway Stage 3 NLEX NB Off Ramp,Infra,14.671076,121.000564,3,High (40-80%)
Skyway Stage 3 NLEX SB On Ramp,Infra,14.671271,121.000165,3,High (40-80%)
NAIAX Skyway Interchange,Infra,14.522899,121.024561,3,High (40-80%)
NAIAX Andrews Avenue Off Ramp,Infra,14.518463,121.01657,3,High (40-80%)
NAIAX Andrews Avenue On Ramp,Infra,14.520239,121.015723,3,High (40-80%)
NAIAX Terminal 3 Off Ramp,Infra,14.525837,121.010984,3,High (40-80%)
NAIAX Tramo On Ramp,Infra,14.528248,121.00467,3,High (40-80%)
NAIAX CAVITEX On/Off Ramps,Infra,14.516553,120.992989,3,High (40-80%)
NAIAX E City On/Off Ramps,Infra,14.51737,120.988153,3,High (40-80%)
NAIAX Macapagal Avenue On/Off Ramps,Infra,14.519241,120.99067,3,High (40-80%)
NAIA RD. On Ramp,Infra,14.516362,121.002414,3,High (40-80%)
NAIAX Terminal 1 Off Ramp,Infra,14.513389,121.003335,3,High (40-80%)
NAIAX Terminal 2 Off Ramp,Infra,14.513907,121.006495,3,High (40-80%)
SLEX Alabang Interchange,Infra,14.422741,121.04541,3,High (40-80%)
SLEX Filinvest Interchange,Infra,14.411013,121.042979,3,High (40-80%)
SLEX Susana Heights Interchange,Infra,14.382961,121.04045,3,High (40-80%)
SLEX San Pedro Interchange,Infra,14.366513,121.043351,3,High (40-80%)
SLEX Southwoods Interchange,Infra,14.332976,121.054358,3,High (40-80%)
SLEX Carmona Interchange,Infra,14.320926,121.06304,3,High (40-80%)
SLEX Mamplasan Interchange,Infra,14.303498,121.078199,3,High (40-80%)
SLEX Sta. Rosa Interchange,Infra,14.285066,121.088627,3,High (40-80%)
SLEX Greenfield Interchange,Infra,14.253162,121.104762,3,High (40-80%)
SLEX Cabuyao Interchange,Infra,14.241121,121.111719,3,High (40-80%)
SLEX Silangan Interchange,Infra,14.229783,121.118728,3,High (40-80%)
SLEX Canlubang Interchange,Infra,14.211887,121.129698,1,Low - Medium (10-20%)
